p_0,p_1,alpha_2,mu0_0,mu0_1,beta_2,mu1_0,mu1_1,gamma_2,count,bias_RA,var_RA,bias_IPW,var_IPW,bias_AIPW,var_AIPW,bias_IPWRA,var_IPWRA,bias_NNMATCH,var_NNMATCH,bias_PSMATCH,var_PSMATCH,_merge,MSE_RA,MSE_IPW,MSE_AIPW,MSE_IPWRA,MSE_NNMATCH,MSE_PSMATCH,min_absbias,minimizing_absbias
.75,.25,-1.42,.25,.75,1.42,.75,.25,.5,73,-.034434035,.0025806145,-.18004638,.03495359,-.19169781,.023802483,-.65210181,.0060565742,.00025199974,.0033036352,.00028799981,.003305017,matched (3),.0037663174,.067370288,.060550533,.43129334,.0033036987,.0033050999,.034434035,1
.75,.25,-1.42,.25,.75,1.42,.75,.25,1.42,74,-.04777864,.0024095958,-.18981242,.034833301,-.20285612,.023752382,-.50955009,.0059199305,.00014599996,.003095157,.00016599993,.0030921919,matched (3),.0046923943,.070862055,.064902991,.26556122,.0030951784,.0030922194,.04777864,1
.75,.25,-1.42,.25,.75,1.42,.25,.75,-1.42,75,-.0065992363,.0022811,-.16818726,.034251645,-.16844416,.022403058,-.45944977,.0051930272,.00049500068,.0028845349,.00051900081,.0028886853,matched (3),.0023246498,.062538601,.050776493,.21628712,.0028847798,.0028889547,.0065992363,1
.75,.25,-1.42,.25,.75,1.42,.25,.75,-.5,76,-.019393912,.0024947606,-.17740673,.034640301,-.17905752,.022810245,-.30808771,.0053243139,.0006239998,.0030139326,.00065100001,.0030183517,matched (3),.0028708843,.06611345,.054871842,.10024235,.0030143219,.0030187755,.019393912,1
.75,.25,-1.42,.25,.75,1.42,.25,.75,.5,77,-.033797912,.0024685217,-.18789826,.034606509,-.19109684,.022910597,-.14733985,.0055169296,.00057799957,.0030126683,.00061099959,.0030136844,matched (3),.0036108205,.06991227,.059428599,.027225962,.0030130025,.0030140576,.033797912,1
.75,.25,-1.42,.25,.75,1.42,.25,.75,1.42,78,-.046984013,.0023425978,-.19747874,.034248415,-.20210105,.02273022,-.0036543927,.0056994455,.000611,.0029645294,.00064799999,.0029652545,matched (3),.0045500952,.07324627,.063575052,.0057128002,.0029649027,.0029656743,.0036543927,4
.75,.25,-1.42,.25,.75,1.42,.5,.5,-1.6,79,-.0041066254,.0023309377,-.16219947,.034561515,-.16637857,.02291053,-.72927099,.0057878918,-.0003149985,.0030021307,-.00030099851,.0030034075,matched (3),.002347802,.060870182,.050592359,.53762406,.0030022298,.0030034981,.0041066254,1
.75,.25,-1.42,.25,.75,1.42,.5,.5,1.6,80,-.050407439,.0023684262,-.19596669,.034741562,-.20506467,.023492528,-.22113173,.0059857294,-.00044399989,.00307963,-.00040799993,.0030800649,matched (3),.0049093361,.073144503,.065544046,.05488497,.0030798272,.0030802314,.050407439,1
.75,.25,-1.42,.5,.5,-1.6,.75,.25,-1.42,81,.050505884,.0024227656,-.30981299,.11468728,.22735022,.030451635,-.38346791,.019159777,-.000051999927,.0030931167,-7.9999254e-06,.0030993817,matched (3),.0049736099,.21067137,.08213976,.16620742,.0030931195,.0030993817,.050505884,1
.75,.25,-1.42,.5,.5,-1.6,.75,.25,-.5,82,.03698875,.0026120283,-.31967473,.11497404,.21604085,.030808872,-.23756367,.019213766,-.00055799983,.0031854119,-.00049799989,.0031941878,matched (3),.0039801961,.21716598,.077482522,.07565026,.0031857232,.0031944357,.03698875,1
.75,.25,-1.42,.5,.5,-1.6,.75,.25,.5,83,.022445884,.0026033304,-.33028367,.11492861,.20387003,.030582767,-.0823474,.018648488,-.0002690008,.0032028018,-.00018800099,.0032046449,matched (3),.0031071482,.22401592,.072145753,.025429582,.0032028742,.0032046803,.022445884,1
.75,.25,-1.42,.5,.5,-1.6,.75,.25,1.42,84,.0091012781,.0024757963,-.34004971,.11508178,.19271171,.030269952,.060204338,.018697985,-.00037500085,.0030726593,-.00031000041,.0030738602,matched (3),.0025586295,.23071559,.067407757,.022322547,.0030727999,.0030739564,.0091012781,1
.75,.25,-1.42,.5,.5,-1.6,.25,.75,-1.42,85,.050280683,.0024136135,-.31842455,.11383513,.22712368,.031548075,.11030465,.018263932,-.000026000089,.0029724326,.000042999942,.0029826465,matched (3),.0049417606,.21522933,.083133243,.030431047,.0029724333,.0029826483,.050280683,1
.75,.25,-1.42,.5,.5,-1.6,.25,.75,-.5,86,.037486009,.002572119,-.32764402,.11387651,.21651031,.031395018,.26166672,.018444585,.00010300008,.0030958236,.00017500008,.0031049752,matched (3),.0039773197,.22122711,.078271732,.086914055,.0030958343,.0031050059,.037486009,1
.75,.25,-1.42,.5,.5,-1.6,.25,.75,.5,87,.023082009,.0025750236,-.33813554,.11388117,.20447099,.031115288,.42241457,.018468689,.000057000281,.0031442738,.00013500021,.0031505206,matched (3),.0031078027,.22821681,.072923675,.19690275,.003144277,.0031505388,.023082009,1
